Question,Answer
market mechanisms overview[edit],"the economic problem with climate change is that the emitters of greenhouse gases (ghgs) do not face the full cost implications of their actions.[8] these other costs are called external costs.[9] external costs may affect the welfare of others. in the case of climate change, ghg emissions affect the welfare of people now and in the future, as well as affecting the natural environment.[10] the social cost of carbon depends on the future development of emissions. this can be addressed with the dynamic price model of emissions trading."
economics[edit],"for the purposes of analysis, it is possible to separate efficiency (achieving a given objective at lowest cost) and equity (fairness).[19] economists generally agree that to regulate emissions efficiently, all polluters need to face the full costs of their actions (that is, the full marginal social costs of their actions).[20] regulation of emissions that is applied only to one economic sector or region drastically reduces the efficiency of efforts to reduce global emissions.[21] there is, however, no scientific consensus over how to share the costs and benefits of reducing future climate change (mitigation of climate change), or the costs and benefits of adapting to any future climate change (see also economics of global warming)."
market trends[edit],carbon emissions trading increased rapidly in 2021 with the start of the chinese national carbon trading scheme.[39] the increasing costs of permits on the eu ets have had the effect of increasing costs of coal power.[40]
business reaction[edit],"the international air transport association, whose 230 member airlines comprise 93% of all international traffic, position is that trading should be based on ""benchmarking"", setting emissions levels based on industry averages, rather than ""grandfathering"", which would use individual companies' previous emissions levels to set their future permit allowances. they argue grandfathering ""would penalise airlines that took early action to modernise their fleets, while a benchmarking approach, if designed properly, would reward more efficient operations"".[42]"
criticisms[edit],"emissions trading has been criticized for a variety of reasons. for example, in the popular science magazine new scientist, lohmann (2006) argued that trading pollution allowances should be avoided as a climate stabilization policy for several reasons. first, climate change requires more radical changes than previous pollution trading schemes such as the us so2 market. it requires reorganizing society and technology to ""leave most remaining fossil fuels safely underground"". carbon trading schemes have tended to reward the heaviest polluters with 'windfall profits' when they are granted enough carbon credits to match historic production. expensive long-term structural changes will not be made if there are cheaper sources of carbon credits which are often available from less developed countries, where they may be generated by local polluters at the expense of local communities.[44]"
history[edit],"the process began in rio de janeiro in 1992, when 160 countries agreed the un framework convention on climate change (unfccc). the necessary detail was left to be settled by the un conference of parties (cop)."
examples by country[edit],"in 2003 the new south wales (nsw) state government unilaterally established the new south wales greenhouse gas abatement scheme[75] to reduce emissions by requiring electricity generators and large consumers to purchase nsw greenhouse abatement certificates (ngacs). this has prompted the rollout of free energy-efficient compact fluorescent lightbulbs and other energy-efficiency measures, funded by the credits. this scheme has been criticised by the centre for energy and environmental markets (ceem) of the university of new south wales (unsw) because of its lack of effectiveness in reducing emissions, its lack of transparency and its lack of verification of the additionality of emission reductions.[76]"
global carbon market[edit],"a global (international) carbon market can play a significant role in stopping climate change. the paris agreement provided a legal base for its creation.[132] in the beginning of 2024 the idea made some progress, as in the bonn meeting new tools and supervisory bodies was created. one of the purposes is to address human rights issues during the implementation of the mechanism. to establish such market, capacity building measures in participating countries are needed. those measures are advancing ""with the number of designated national authorities rising to 72 on 1 march from 64 on 2 november.""[133]"
society and culture[edit],"in the united states, most polling shows large support for emissions trading (often referred to as cap-and-trade). this majority support can be seen in polls conducted by the washington post/abc news,[139] zogby international[140] and yale university.[141] according to politifact, it is a misconception that emissions trading is unpopular in the united states because of earlier polls from zogby international and rasmussen which misleadingly include ""new taxes"" in the questions (taxes are not part of emissions trading) or high energy cost estimates.[142]"
definition[edit],"a carbon offset is a way of compensating for emissions of  carbon dioxide or other greenhouse gases. it is a reduction, avoidance, or removal of emissions to compensate for emissions released elsewhere. it represents an emission reduction or removal of one metric tonne of carbon dioxide equivalent or co2e, i.e. it can also represent an equivalent amount of other greenhouse gases (ghgs).[15] carbon offsets and credits are a form of carbon pricing, along with carbon taxes and subsidies. the concepts of offsets and credits are linked. both offsets and credits can move among the various markets they are traded in.[16]"
